iter	Passed	Remaining
648	1145	619
649	1147	617
650	1148	615
651	1149	613
652	1151	611
653	1152	609
654	1153	607
655	1154	605
656	1155	603
657	1156	601
658	1159	600
659	1160	598
660	1162	596
661	1163	594
662	1165	592
663	1166	590
664	1167	588
665	1169	586
666	1171	584
667	1172	582
668	1174	581
669	1175	578
670	1176	576
671	1177	574
672	1177	572
673	1178	570
674	1179	568
675	1180	565
676	1181	563
677	1182	561
678	1183	559
679	1184	557
680	1185	555
681	1186	553
682	1187	551
683	1189	549
684	1189	547
685	1190	545
686	1191	542
687	1192	540
688	1193	538
689	1194	536
690	1195	534
691	1196	532
692	1197	530
693	1198	528
694	1199	526
695	1200	524
696	1201	522
697	1202	520
698	1203	518
699	1204	516
700	1205	514
701	1206	512
702	1208	510
703	1209	508
704	1210	506
705	1211	504
706	1211	502
707	1213	500
708	1214	498
709	1214	496
710	1215	494
711	1216	492
712	1218	490
713	1219	488
714	1220	486
715	1221	484
716	1222	482
717	1223	480
718	1224	478
719	1225	476
720	1226	474
721	1227	472
722	1228	470
723	1229	468
724	1229	466
725	1230	464
726	1231	462
727	1233	460
728	1234	459
729	1235	457
730	1236	455
731	1237	453
732	1238	451
733	1239	449
734	1240	447
735	1241	445
736	1242	443
737	1242	441
738	1243	439
739	1244	437
740	1245	435
741	1246	433
742	1247	431
743	1249	429
744	1250	428
745	1251	426
746	1252	424
747	1253	422
748	1254	420
749	1255	418
750	1255	416
751	1257	414
752	1258	412
753	1258	410
754	1259	408
755	1260	406
756	1261	405
757	1263	403
758	1264	401
759	1265	399
760	1266	397
761	1267	395
762	1268	393
763	1269	392
764	1270	390
765	1271	388
766	1271	386
767	1272	384
768	1273	382
769	1274	380
770	1275	378
771	1276	376
772	1277	375
773	1279	373
774	1280	371
775	1281	369
776	1282	367
777	1283	366
778	1284	364
779	1285	362
780	1286	360
781	1286	358
782	1287	356
783	1288	355
784	1289	353
785	1290	351
786	1291	349
787	1293	348
788	1294	346
789	1295	344
790	1296	342
791	1297	340
792	1298	338
793	1299	337
794	1300	335
795	1301	333
796	1302	331
797	1303	329
798	1304	328
799	1304	326
800	1305	324
801	1306	322
802	1308	321
803	1310	319
804	1311	317
805	1312	315
806	1313	314
807	1314	312
808	1315	310
809	1316	308
810	1317	306
811	1318	305
812	1318	303
813	1319	301
814	1320	299
815	1321	298
816	1322	296
817	1324	294
818	1325	292
819	1326	291
820	1327	289
821	1328	287
822	1329	285
823	1329	284
824	1330	282
825	1331	280
826	1332	278
827	1333	277
828	1334	275
829	1335	273
830	1336	271
831	1337	270
832	1339	268
833	1340	266
834	1340	264
835	1341	263
836	1342	261
837	1343	259
838	1344	258
839	1345	256
840	1346	254
841	1347	252
842	1348	251
843	1349	249
844	1349	247
845	1350	245
846	1351	244
847	1353	242
848	1354	240
849	1355	239
850	1356	237
851	1357	235
852	1358	234
853	1359	232
854	1360	230
855	1361	228
856	1362	227
857	1362	225
858	1363	223
859	1364	222
860	1365	220
861	1366	218
862	1367	217
863	1369	215
864	1370	213
865	1371	212
866	1372	210
867	1373	208
868	1374	207
869	1375	205
870	1376	203
871	1376	202
872	1377	200
873	1378	198
874	1379	197
875	1380	195
876	1381	193
877	1382	192
878	1384	190
879	1385	188
880	1386	187
881	1387	185
882	1387	183
883	1388	182
884	1389	180
885	1390	178
886	1391	177
887	1392	175
888	1393	173
889	1394	172
890	1395	170
891	1396	169
892	1397	167
893	1399	165
894	1400	164
895	1401	162
896	1402	161
897	1403	159
898	1404	157
899	1405	156
900	1406	154
901	1407	152
902	1408	151
903	1409	149
904	1410	148
905	1410	146
906	1411	144
907	1412	143
908	1414	141
909	1415	139
910	1416	138
911	1416	136
912	1417	135
913	1418	133
914	1419	131
915	1420	130
916	1421	128
917	1422	127
918	1423	125
919	1424	123
920	1425	122
921	1425	120
922	1426	119
923	1428	117
924	1429	115
925	1430	114
926	1431	112
927	1432	111
928	1433	109
929	1434	107
930	1435	106
931	1436	104
932	1436	103
933	1437	101
934	1438	100
935	1439	98
936	1440	96
937	1441	95
938	1444	93
939	1445	92
940	1446	90
941	1447	89
942	1448	87
943	1450	86
944	1451	84
945	1452	82
946	1453	81
947	1454	79
948	1454	78
949	1455	76
950	1457	75
951	1458	73
952	1459	72
953	1460	70
954	1461	68
955	1462	67
956	1463	65
957	1464	64
958	1465	62
959	1466	61
960	1467	59
961	1468	58
962	1469	56
963	1470	54
964	1471	53
965	1472	51
966	1474	50
967	1475	48
968	1476	47
969	1477	45
970	1477	44
971	1478	42
972	1479	41
973	1480	39
974	1481	37
975	1482	36
976	1483	34
977	1485	33
978	1487	31
979	1490	30
980	1492	28
981	1495	27
982	1497	25
983	1498	24
984	1499	22
985	1500	21
986	1501	19
987	1502	18
988	1504	16
989	1505	15
990	1506	13
991	1507	12
992	1508	10
993	1509	9
994	1510	7
995	1511	6
996	1512	4
997	1513	3
998	1514	1
999	1514	0
